CAT,N. Gara,Data,Ora,Squadra A,Separatore,Squadra B,PALESTRA,NOTE,SetA_Vinti,SetB_Vinti,1_SET_PTS_A,1_SET_PTS_B,2_SET_PTS_A,2_SET_PTS_B,3_SET_PTS_A,3_SET_PTS_B,4_SET_PTS_A,4_SET_PTS_B,5_SET_PTS_A,5_SET_PTS_B

4+2,730101,mer 12 /11/ 25,ore 21.00,T.V.M.21 - Schiacciami Ancora,-,San Luigi Santena,"Scuola Colombo, Piazzetta Jona 4, TO","Max 3 ospiti a squadra",3,1,25,13,12,25,25,23,25,21,,
4+2,730102,mar 11 /11/ 25,ore 21.00,Frassati Valle Sauglio,-,Virtus Gialla,"Ist. Flora Manfrinati - Str. Revigliasco, 69 - Moncalieri TO",,3,0,25,14,25,14,25,22,,,,
4+2,730103,mar 11 /11/ 25,ore 20.30,Banane Magiche,-,ASD Airasca Longobarda,"Strada Contessa,90 Caselette",,1,3,25,22,23,25,12,25,18,25,,
4+2,730104,gio 05 /02/ 26,ore 21.20,Frassati S.Carlo,-,ASD Patr. San Giuseppe,Palavauda - Viale Europa - Vauda C.se,Ingresso H 20.30,,,,,,,,,,,,
4+2,730105,mer 04 /02/ 26,ore 21.30,Sinapsi,-,Kolbe GEN-YZ,Pal. Com. - Piazza della Concordia Givoletto TO,Ingresso retro palestra,,,,,,,,,,,,

4+2,730106,mar 18 /11/ 25,ore 21.30,San Luigi Santena,-,Kolbe GEN-YZ,"Pal. Oratorio S.Luigi Santena via Vittorio Veneto 31",Ingresso da via Milite Ignoto,0,3,6,25,13,25,,,,,,
4+2,730107,mar 18 /11/ 25,ore 21.00,ASD Patr. San Giuseppe,-,Sinapsi,"Via Pietro Baiardi 4, Torino",,3,1,25,14,25,20,23,25,25,15,,
4+2,730108,gio 20 /11/ 25,ore 21.00,ASD Airasca Longobarda,-,Frassati S.Carlo,"Pal. scuola primaria, Via Torino,13 - Castagnole Piemonte",No pubblico,,,,,,,,,,,,
4+2,730109,mer 19 /11/ 25,ore 21.30,Virtus Gialla,-,Banane Magiche,Via Trieste 1 - Volpiano,,,,,,,,,,,,,
4+2,730110,mer 11 /02/ 26,ore 21.00,T.V.M.21 - Schiacciami Ancora,-,Frassati Valle Sauglio,"Scuola Colombo, Piazzetta Jona 4, TO",Max 3 ospiti a squadra,,,,,,,,,,,,

4+2,730111,gio 27 /11/ 25,ore 21.00,Frassati Valle Sauglio,-,San Luigi Santena,"Ist. Flora Manfrinati - Str. Revigliasco, 69 - Moncalieri TO",,,,,,,,,,,,,
4+2,730112,mar 25 /11/ 25,ore 20.30,Banane Magiche,-,T.V.M.21 - Schiacciami Ancora,"Strada Contessa, 90 Caselette",,,,,,,,,,,,,
4+2,730113,gio 19 /02/ 26,ore 21.20,Frassati S.Carlo,-,Virtus Gialla,Palavauda -Viale Europa - Vauda C.se,Ingresso H 20.30,,,,,,,,,,,,
4+2,730114,mer 26 /11/ 25,ore 21.30,Sinapsi,-,ASD Airasca Longobarda,Pal. Com. - Piazza della Concordia Givoletto TO,Ingresso retro palestra,,,,,,,,,,,,
4+2,730115,dom 30 /11/ 25,ore 20.45,Kolbe GEN-YZ,-,ASD Patr. San Giuseppe,Palestra Aprica via Bard 39 Torino,,,,,,,,,,,,,

