CAT,N. Gara,Data,Ora,Squadra A,Separatore,Squadra B,PALESTRA,NOTE,SetA_Vinti,SetB_Vinti,1_SET_PTS_A,1_SET_PTS_B,2_SET_PTS_A,2_SET_PTS_B,3_SET_PTS_A,3_SET_PTS_B,4_SET_PTS_A,4_SET_PTS_B,5_SET_PTS_A,5_SET_PTS_B

OPMSB,742101,gio 13/11/25,20:45,Aurora Vanchiglia Volley,-,RIPOSO,"Scuola Aristide Gabelli - Via Santhià 25, TO - parcheggio interno",,,,,,,,,,,,,
OPMSB,742102,gio 13/11/25,21:00,T.V.M.21 - Sbronzi di Riace,-,ASD Patr. San Giuseppe,"Scuola C. Picchio - Via Palma di Cesnola 31, TO","No pubblico - NO PALLONI",3,0,25,14,25,19,25,12,,,,
OPMSB,742103,mer 12/11/25,21:00,Sgnacalabala Vintage,-,San Salvario,"Pal. Cattaneo - Via Giacomo Leopardi, 22 - Collegno  ingresso H20,30 pubblico 15/20",,2,3,25,21,16,25,20,25,25,21,15,17
OPMSB,742104,mer 12/11/25,21:15,Dora TO,-,Gianferr Volley,"Pal. Cecchi, Via A. Cecchi, 14, TO",,3,2,19,25,25,19,25,23,26,28,15,13
OPMSB,742105,gio 26/02/26,21:15,Sociale Sport - SEMPRE FUORI CASA,-,Vis Atletico Mista Open,"Pal. Chiovini - Via Monesiglio, 1 – NO Pubblico - NO Docce - ingresso H20:30",,,,,,,,,,,,,
OPMSB,742106,lun 16/02/26,21:15,Sportidea Drink Team,-,Sanbe Misto,"Scuola Modigliani Via Collino,4 TO",,,,,,,,,,,,,
OPMSB,742107,ven 14/11/25,21:15,Sportidea Monsterbrock,-,Borgofranco Volley,"Scuola Modigliani Via Collino,4 TO",,1,3,19,25,25,23,11,25,22,25,,

OPMSB,742108,lun 17/11/25,20:45,Aurora Vanchiglia Volley,-,T.V.M.21 - Sbronzi di Riace,"Scuola Aristide Gabelli - Via Santhià 25, TO - parcheggio interno",,0,3,18,25,20,25,13,25,,,,
OPMSB,742109,mer 19/11/25,20:30,ASD Patr. San Giuseppe,-,Sgnacalabala Vintage,Via Pietro Baiardi 4 TO,,,,,,,,,,,,,
OPMSB,742110,mer 19/11/25,21:00,San Salvario,-,Dora TO,"Pal. Nievo - C-so Moncalieri, 43 – TO - MAX 3Sp / Squadra",,,,,,,,,,,,,
OPMSB,742111,ven 09/01/26,21:15,Gianferr Volley,-,Sociale Sport - SEMPRE FUORI CASA,"Pal. Scuole - Via Remo Bretto,12  Feletto",,,,,,,,,,,,,
OPMSB,742112,gio 20/11/25,21:15,Vis Atletico Mista Open,-,Sportidea Drink Team,"Pal. Chiovini - Via Monesiglio, 1 – NO Pubblico - NO Docce - ingresso H20:30",,,,,,,,,,,,,
OPMSB,742113,gio 20/11/25,21:00,Sanbe Misto,-,Sportidea Monsterbrock,Pal. Com.  C.so Italia 34 San Benigno Canavese Ingresso ultimo cancello H20.30,,,,,,,,,,,,,
OPMSB,742114,lun 17/11/25,,RIPOSO,-,Borgofranco Volley,,,,,,,,,,,,,,

